timeId,name,keywordId,count
91,erland nordenskiöld,1,212
68,fälttecken,1,1
70,fälttecken,1,20
71,fälttecken,1,2121
72,fälttecken,1,195
73,fälttecken,1,37
74,fälttecken,1,26
75,fälttecken,1,20
76,fälttecken,1,103
77,fälttecken,1,12
78,fälttecken,1,25
79,fälttecken,1,112
80,fälttecken,1,921
81,fälttecken,1,75
82,fälttecken,1,4
83,fälttecken,1,73
84,fälttecken,1,57
85,fälttecken,1,70
86,fälttecken,1,18
87,fälttecken,1,34
88,fälttecken,1,55
89,fälttecken,1,412
90,fälttecken,1,2969
91,fälttecken,1,2549
78,asien,1,5
79,asien,1,411
80,asien,1,1011
81,asien,1,196
82,asien,1,375
83,asien,1,2088
84,asien,1,263
85,asien,1,1039
86,asien,1,163
87,asien,1,179
88,asien,1,328
89,asien,1,263
90,asien,1,164
91,asien,1,1777
71,skog,1,1
76,skog,1,12
77,skog,1,1
78,skog,1,14
79,skog,1,108
80,skog,1,226
81,skog,1,351
82,skog,1,354
83,skog,1,537
84,skog,1,602
85,skog,1,2194
86,skog,1,1838
87,skog,1,851
88,skog,1,2259
89,skog,1,2210
90,skog,1,405
91,skog,1,4278
69,kläder : damkläder,1,1
70,kläder : damkläder,1,25
71,kläder : damkläder,1,28
72,kläder : damkläder,1,42
73,kläder : damkläder,1,27
74,kläder : damkläder,1,48
75,kläder : damkläder,1,94
76,kläder : damkläder,1,106
77,kläder : damkläder,1,164
78,kläder : damkläder,1,208
79,kläder : damkläder,1,403
80,kläder : damkläder,1,158
81,kläder : damkläder,1,146
82,kläder : damkläder,1,301
83,kläder : damkläder,1,699
84,kläder : damkläder,1,2288
85,kläder : damkläder,1,1961
86,kläder : damkläder,1,431
87,kläder : damkläder,1,237
88,kläder : damkläder,1,522
89,kläder : damkläder,1,122
90,kläder : damkläder,1,439
91,kläder : damkläder,1,1828
70,förvaring,1,5
71,förvaring,1,6
72,förvaring,1,45
73,förvaring,1,9
74,förvaring,1,38
75,förvaring,1,29
76,förvaring,1,127
77,förvaring,1,44
78,förvaring,1,90
79,förvaring,1,544
80,förvaring,1,567
81,förvaring,1,923
82,förvaring,1,561
83,förvaring,1,681
84,förvaring,1,794
85,förvaring,1,497
86,förvaring,1,1707
87,förvaring,1,658
88,förvaring,1,349
89,förvaring,1,141
90,förvaring,1,69
91,förvaring,1,1790
76,hus,1,6
77,hus,1,1
78,hus,1,31
79,hus,1,101
80,hus,1,519
81,hus,1,273
82,hus,1,234
83,hus,1,340
84,hus,1,826
85,hus,1,1379
86,hus,1,1721
87,hus,1,729
88,hus,1,468
89,hus,1,2461
90,hus,1,231
91,hus,1,4471
78,snö,1,8
79,snö,1,44
80,snö,1,145
81,snö,1,189
82,snö,1,225
83,snö,1,154
84,snö,1,466
85,snö,1,1774
86,snö,1,2303
87,snö,1,956
88,snö,1,2008
89,snö,1,1624
90,snö,1,461
91,snö,1,4053
75,industri,1,1
76,industri,1,2
77,industri,1,3
78,industri,1,11
79,industri,1,96
80,industri,1,77
81,industri,1,58
82,industri,1,261
83,industri,1,363
84,industri,1,411
85,industri,1,2095
86,industri,1,2221
87,industri,1,244
88,industri,1,1434
89,industri,1,798
90,industri,1,57
91,industri,1,3329
72,hemslöjd,1,2
74,hemslöjd,1,8
75,hemslöjd,1,5
76,hemslöjd,1,41
77,hemslöjd,1,27
78,hemslöjd,1,40
79,hemslöjd,1,118
80,hemslöjd,1,105
81,hemslöjd,1,57
82,hemslöjd,1,65
83,hemslöjd,1,113
84,hemslöjd,1,170
85,hemslöjd,1,241
86,hemslöjd,1,342
87,hemslöjd,1,337
88,hemslöjd,1,89
89,hemslöjd,1,6745
90,hemslöjd,1,26
91,hemslöjd,1,577
43,handel,1,1
66,handel,1,2
67,handel,1,1
68,handel,1,4
69,handel,1,3
70,handel,1,9
71,handel,1,25
72,handel,1,11
73,handel,1,37
74,handel,1,15
75,handel,1,23
76,handel,1,30
77,handel,1,19
78,handel,1,54
79,handel,1,520
80,handel,1,227
81,handel,1,287
82,handel,1,745
83,handel,1,813
84,handel,1,1554
85,handel,1,846
86,handel,1,857
87,handel,1,1194
88,handel,1,517
89,handel,1,511
90,handel,1,69
91,handel,1,3808
72,person,1,1
74,person,1,1
76,person,1,1
77,person,1,2
78,person,1,61
79,person,1,86
80,person,1,116
81,person,1,372
82,person,1,760
83,person,1,1036
84,person,1,1418
85,person,1,439
86,person,1,797
87,person,1,295
88,person,1,245
89,person,1,84
90,person,1,32
91,person,1,1798
77,gruppbild,1,1
78,gruppbild,1,25
79,gruppbild,1,145
80,gruppbild,1,242
81,gruppbild,1,593
82,gruppbild,1,667
83,gruppbild,1,613
84,gruppbild,1,1148
85,gruppbild,1,2202
86,gruppbild,1,2238
87,gruppbild,1,455
88,gruppbild,1,448
89,gruppbild,1,5326
90,gruppbild,1,1047
91,gruppbild,1,3521
48,sven hedin,1,1
49,sven hedin,1,1
54,sven hedin,1,1
57,sven hedin,1,2
58,sven hedin,1,1
59,sven hedin,1,1
67,sven hedin,1,1
68,sven hedin,1,1
71,sven hedin,1,1
72,sven hedin,1,145
74,sven hedin,1,1
77,sven hedin,1,1
78,sven hedin,1,1
79,sven hedin,1,204
80,sven hedin,1,1552
81,sven hedin,1,4
82,sven hedin,1,162
83,sven hedin,1,6698
84,sven hedin,1,312
85,sven hedin,1,622
86,sven hedin,1,33
87,sven hedin,1,2
88,sven hedin,1,9
89,sven hedin,1,21
90,sven hedin,1,102
91,sven hedin,1,986
71,afrika,1,7
79,afrika,1,314
80,afrika,1,199
81,afrika,1,602
82,afrika,1,859
83,afrika,1,1125
84,afrika,1,244
85,afrika,1,413
86,afrika,1,576
87,afrika,1,49
88,afrika,1,1089
89,afrika,1,213
90,afrika,1,43
91,afrika,1,784
43,huvudbonad,1,1
56,huvudbonad,1,1
68,huvudbonad,1,1
69,huvudbonad,1,2
70,huvudbonad,1,5
71,huvudbonad,1,1
72,huvudbonad,1,4
73,huvudbonad,1,3
74,huvudbonad,1,4
75,huvudbonad,1,12
76,huvudbonad,1,81
77,huvudbonad,1,40
78,huvudbonad,1,41
79,huvudbonad,1,492
80,huvudbonad,1,257
81,huvudbonad,1,406
82,huvudbonad,1,196
83,huvudbonad,1,935
84,huvudbonad,1,593
85,huvudbonad,1,624
86,huvudbonad,1,805
87,huvudbonad,1,927
88,huvudbonad,1,515
89,huvudbonad,1,213
90,huvudbonad,1,164
91,huvudbonad,1,1584
79,bil,1,6
80,bil,1,40
81,bil,1,117
82,bil,1,352
83,bil,1,526
84,bil,1,722
85,bil,1,2235
86,bil,1,3091
87,bil,1,1819
88,bil,1,1524
89,bil,1,2540
90,bil,1,425
91,bil,1,4988
70,stadsmiljö,1,2
71,stadsmiljö,1,1
72,stadsmiljö,1,1
74,stadsmiljö,1,2
75,stadsmiljö,1,1
76,stadsmiljö,1,1
77,stadsmiljö,1,1
78,stadsmiljö,1,87
79,stadsmiljö,1,79
80,stadsmiljö,1,567
81,stadsmiljö,1,79
82,stadsmiljö,1,68
83,stadsmiljö,1,309
84,stadsmiljö,1,387
85,stadsmiljö,1,838
86,stadsmiljö,1,920
87,stadsmiljö,1,310
88,stadsmiljö,1,563
89,stadsmiljö,1,567
90,stadsmiljö,1,1368
91,stadsmiljö,1,1641
70,samisk historia,1,7
71,samisk historia,1,4
72,samisk historia,1,15
73,samisk historia,1,12
74,samisk historia,1,21
75,samisk historia,1,49
76,samisk historia,1,74
77,samisk historia,1,66
78,samisk historia,1,449
79,samisk historia,1,2621
80,samisk historia,1,902
81,samisk historia,1,217
82,samisk historia,1,376
83,samisk historia,1,835
84,samisk historia,1,663
85,samisk historia,1,428
86,samisk historia,1,360
87,samisk historia,1,178
88,samisk historia,1,52
89,samisk historia,1,9
90,samisk historia,1,40
91,samisk historia,1,842
0,yxa,1,5848
31,yxa,1,504
43,yxa,1,872
60,yxa,1,238
65,yxa,1,3
66,yxa,1,1
67,yxa,1,3
68,yxa,1,162
71,yxa,1,3
78,yxa,1,1
79,yxa,1,4
80,yxa,1,2
81,yxa,1,25
82,yxa,1,11
83,yxa,1,16
84,yxa,1,31
85,yxa,1,45
86,yxa,1,49
87,yxa,1,15
88,yxa,1,31
89,yxa,1,557
90,yxa,1,2877
91,yxa,1,2094
68,samfund : skolväsen : undervisningsmateriel,1,1
71,samfund : skolväsen : undervisningsmateriel,1,3
72,samfund : skolväsen : undervisningsmateriel,1,4
73,samfund : skolväsen : undervisningsmateriel,1,1450
